Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2012-08-14, 92.36, 92.50, 92.01, 92.30, 1843500, 83.60,,
2012-08-13, 92.29, 92.59, 91.74, 92.40, 2075400, 83.69,,
2012-08-10, 91.37, 92.30, 90.95, 92.29, 1755100, 83.59,,
2012-08-09, 91.50, 92.07, 91.33, 91.59, 1834900, 82.96,,
2012-08-08, 91.48, 92.08, 91.25, 91.63, 2022300, 82.99,,
2012-08-07, 91.70, 92.31, 91.62, 91.70, 1764800, 83.06,,
2012-08-06, 92.00, 92.34, 91.41, 91.41, 1858500, 82.79,,
2012-08-03, 91.03, 91.79, 91.01, 91.70, 2713500, 83.06,,
2012-08-02, 90.11, 90.73, 89.23, 90.08, 2949800, 81.59,,
2012-08-01, 91.65, 91.80, 90.61, 91.20, 2149700, 82.60,,
2012-07-31, 91.00, 91.66, 90.87, 91.23, 2720200, 82.63,,
2012-07-30, 91.41, 91.95, 90.91, 91.28, 2714900, 82.68,,
2012-07-27, 90.94, 92.08, 90.66, 91.71, 3915400, 83.07,,
2012-07-26, 90.00, 92.00, 89.53, 90.59, 4759400, 82.05,,
2012-07-25, 88.69, 89.16, 87.96, 88.75, 3541200, 80.38,,
2012-07-24, 89.28, 89.51, 87.58, 88.24, 2850400, 79.92,,
2012-07-23, 88.44, 89.56, 87.78, 89.36, 2434800, 80.94,,
2012-07-20, 90.18, 90.49, 89.84, 89.99, 3024800, 81.51,,
2012-07-19, 90.87, 91.20, 90.40, 90.83, 3355100, 82.27,,
2012-07-18, 88.75, 90.99, 88.56, 90.87, 4273300, 82.30,,
2012-07-17, 88.25, 89.35, 87.55, 88.98, 3078500, 80.59,,
2012-07-16, 88.12, 88.65, 87.77, 88.10, 2848100, 79.80,,
2012-07-13, 86.32, 87.83, 86.32, 87.59, 2599300, 79.33,,
2012-07-12, 86.60, 86.97, 85.34, 86.41, 4938300, 78.27,,
2012-07-11, 88.38, 88.76, 87.01, 87.85, 4208600, 79.57,,
2012-07-10, 89.08, 89.82, 87.96, 88.25, 3356800, 79.93,,
2012-07-09, 88.86, 89.08, 88.31, 88.96, 2600900, 80.57,,
2012-07-06, 88.81, 89.38, 88.35, 88.99, 2192900, 80.60,,
2012-07-05, 89.20, 89.95, 88.86, 89.57, 1924800, 81.13,,
2012-07-03, 89.11, 89.75, 89.08, 89.70, 1410400, 81.25,,
