Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2013-05-24, 440.85, 445.66, 440.36, 445.15, 69041700, 59.79,,
2013-05-23, 435.95, 446.16, 435.79, 442.14, 88255300, 59.39,,
2013-05-22, 444.05, 448.35, 438.22, 441.35, 110759600, 59.28,,
2013-05-21, 438.15, 445.48, 434.20, 439.66, 114005500, 59.06,,
2013-05-20, 431.91, 445.80, 430.10, 442.93, 112894600, 59.50,,
2013-05-17, 439.05, 440.09, 431.01, 433.26, 106976100, 58.20,,
2013-05-16, 423.24, 437.85, 418.90, 434.58, 150801000, 58.37,,
2013-05-15, 439.16, 441.00, 422.36, 428.85, 185403400, 57.60,,
2013-05-14, 453.85, 455.20, 442.15, 443.86, 111779500, 59.62,,
2013-05-13, 451.51, 457.90, 451.50, 454.74, 79237200, 61.08,,
2013-05-10, 457.97, 459.71, 450.48, 452.97, 83713000, 60.84,,
2013-05-09, 459.81, 463.00, 455.58, 456.77, 99621900, 61.35, 0.43571, 
2013-05-08, 459.04, 465.37, 455.81, 463.84, 118149500, 61.89,,
2013-05-07, 464.97, 465.75, 453.70, 458.66, 120938300, 61.20,,
2013-05-06, 455.71, 462.20, 454.31, 460.71, 124160400, 61.48,,
2013-05-03, 451.31, 453.23, 449.15, 449.98, 90325200, 60.04,,
2013-05-02, 441.78, 448.59, 440.63, 445.52, 105457100, 59.45,,
2013-05-01, 444.46, 444.93, 434.39, 439.29, 126727300, 58.62,,
2013-04-30, 435.10, 445.25, 432.07, 442.78, 172884600, 59.08,,
2013-04-29, 420.45, 433.62, 420.00, 430.12, 160081600, 57.39,,
2013-04-26, 409.81, 418.77, 408.25, 417.20, 191024400, 55.67,,
2013-04-25, 411.23, 413.94, 407.00, 408.38, 96209400, 54.49,,
2013-04-24, 393.54, 415.25, 392.50, 405.46, 242412800, 54.10,,
2013-04-23, 403.99, 408.38, 398.81, 406.13, 166059600, 54.19,,
2013-04-22, 392.64, 402.20, 391.27, 398.67, 107480100, 53.20,,
2013-04-19, 387.97, 399.60, 385.10, 390.53, 152318600, 52.11,,
2013-04-18, 404.99, 405.79, 389.74, 392.05, 166574800, 52.31,,
2013-04-17, 420.27, 420.60, 398.11, 402.80, 236264000, 53.75,,
2013-04-16, 421.57, 426.61, 420.57, 426.24, 76442800, 56.88,,
2013-04-15, 427.00, 427.89, 419.55, 419.85, 79380000, 56.02,,
2013-04-12, 434.15, 434.15, 429.09, 429.80, 59653300, 57.35,,
2013-04-11, 433.72, 437.99, 431.20, 434.33, 82091100, 57.96,,
2013-04-10, 428.10, 437.06, 426.01, 435.69, 93982000, 58.14,,
2013-04-09, 426.36, 428.50, 422.75, 426.98, 76653500, 56.98,,
2013-04-08, 424.85, 427.50, 422.49, 426.21, 75207300, 56.87,,
2013-04-05, 424.50, 424.95, 419.68, 423.20, 95923800, 56.47,,
2013-04-04, 433.76, 435.00, 425.25, 427.72, 89611900, 57.07,,
2013-04-03, 431.37, 437.28, 430.31, 431.99, 90804000, 57.64,,
2013-04-02, 427.60, 438.14, 426.40, 429.79, 132379800, 57.35,,
2013-04-01, 441.90, 443.70, 427.74, 428.91, 97433000, 57.23,,
2013-03-28, 449.82, 451.82, 441.62, 442.66, 110709900, 59.07,,
2013-03-27, 456.46, 456.80, 450.73, 452.08, 82809300, 60.33,,
2013-03-26, 465.44, 465.84, 460.53, 461.14, 73573500, 61.53,,
2013-03-25, 464.69, 469.95, 461.78, 463.58, 125283900, 61.86,,
2013-03-22, 454.58, 462.10, 453.11, 461.91, 98776300, 61.64,,
2013-03-21, 450.22, 457.98, 450.10, 452.73, 95813900, 60.41,,
2013-03-20, 457.42, 457.63, 449.59, 452.08, 77165200, 60.33,,
2013-03-19, 459.50, 460.97, 448.50, 454.49, 131693800, 60.65,,
2013-03-18, 441.45, 457.46, 441.20, 455.72, 151549300, 60.81,,
2013-03-15, 437.93, 444.23, 437.25, 443.66, 160990200, 59.20,,
2013-03-14, 432.83, 434.64, 430.45, 432.50, 75968900, 57.71,,
2013-03-13, 428.45, 434.50, 425.36, 428.35, 101387300, 57.16,,
2013-03-12, 435.60, 438.88, 427.57, 428.43, 116477900, 57.17,,
2013-03-11, 429.75, 439.01, 425.14, 437.87, 118559000, 58.43,,
2013-03-08, 429.80, 435.43, 428.61, 431.72, 97870500, 57.61,,
2013-03-07, 424.50, 432.01, 421.06, 430.58, 117118400, 57.46,,
2013-03-06, 434.51, 435.25, 424.43, 425.66, 115062500, 56.80,,
